INFO:root:[Epoch 2/160][Iter 340/517][lr 0.000472][Loss: obj 6.46 || cls 3.73 || bbox 8.62 || total 18.81 || size 416]
INFO:root:[Epoch 2/160][Iter 350/517][lr 0.000494][Loss: obj 6.29 || cls 3.02 || bbox 8.51 || total 17.81 || size 416]
INFO:root:[Epoch 2/160][Iter 360/517][lr 0.000518][Loss: obj 5.80 || cls 2.92 || bbox 8.01 || total 16.73 || size 416]
INFO:root:[Epoch 2/160][Iter 370/517][lr 0.000542][Loss: obj 6.74 || cls 2.98 || bbox 6.64 || total 16.36 || size 416]
INFO:root:[Epoch 2/160][Iter 380/517][lr 0.000566][Loss: obj 8.34 || cls 4.83 || bbox 11.88 || total 25.05 || size 416]
INFO:root:[Epoch 2/160][Iter 390/517][lr 0.000592][Loss: obj 6.66 || cls 3.59 || bbox 8.37 || total 18.63 || size 416]
INFO:root:[Epoch 2/160][Iter 400/517][lr 0.000619][Loss: obj 6.61 || cls 4.08 || bbox 8.40 || total 19.09 || size 416]
INFO:root:[Epoch 2/160][Iter 410/517][lr 0.000646][Loss: obj 5.41 || cls 2.39 || bbox 4.72 || total 12.53 || size 416]
INFO:root:[Epoch 2/160][Iter 420/517][lr 0.000674][Loss: obj 5.65 || cls 2.81 || bbox 7.02 || total 15.47 || size 416]
INFO:root:[Epoch 2/160][Iter 430/517][lr 0.000704][Loss: obj 5.53 || cls 2.62 || bbox 6.40 || total 14.55 || size 416]
INFO:root:[Epoch 2/160][Iter 440/517][lr 0.000734][Loss: obj 6.98 || cls 3.60 || bbox 9.12 || total 19.70 || size 416]
INFO:root:[Epoch 2/160][Iter 450/517][lr 0.000765][Loss: obj 7.34 || cls 3.05 || bbox 8.06 || total 18.45 || size 416]
INFO:root:[Epoch 2/160][Iter 460/517][lr 0.000797][Loss: obj 5.78 || cls 2.82 || bbox 5.03 || total 13.63 || size 416]
INFO:root:[Epoch 2/160][Iter 470/517][lr 0.000830][Loss: obj 7.17 || cls 3.08 || bbox 8.39 || total 18.65 || size 416]
INFO:root:[Epoch 2/160][Iter 480/517][lr 0.000864][Loss: obj 8.25 || cls 3.43 || bbox 10.08 || total 21.77 || size 416]
INFO:root:[Epoch 2/160][Iter 490/517][lr 0.000900][Loss: obj 8.87 || cls 4.31 || bbox 10.55 || total 23.74 || size 416]
INFO:root:[Epoch 2/160][Iter 500/517][lr 0.000936][Loss: obj 6.65 || cls 2.60 || bbox 9.68 || total 18.94 || size 416]
INFO:root:[Epoch 2/160][Iter 510/517][lr 0.000973][Loss: obj 6.31 || cls 3.15 || bbox 8.30 || total 17.76 || size 416]
